,COCLSACT
220,DID NOT USE COCAINE IN THE PAST 12 MOS
221,NEVER USED COCAINE
222,NEVER USED COCAINE
223,NEVER USED COCAINE
224,NEVER USED COCAINE
225,NEVER USED COCAINE
226,NEVER USED COCAINE
227,NEVER USED COCAINE
228,DID NOT USE COCAINE IN THE PAST 12 MOS
229,NEVER USED COCAINE
230,DID NOT USE COCAINE IN THE PAST 12 MOS
231,NEVER USED COCAINE
232,NEVER USED COCAINE
233,NEVER USED COCAINE
234,DID NOT USE COCAINE IN THE PAST 12 MOS
235,NEVER USED COCAINE
236,DID NOT USE COCAINE IN THE PAST 12 MOS
237,NEVER USED COCAINE
238,DID NOT USE COCAINE IN THE PAST 12 MOS
239,NEVER USED COCAINE
240,NEVER USED COCAINE
241,NEVER USED COCAINE
242,NEVER USED COCAINE
243,NEVER USED COCAINE
244,NEVER USED COCAINE
245,NEVER USED COCAINE
246,NEVER USED COCAINE
247,NEVER USED COCAINE
248,NEVER USED COCAINE
249,NEVER USED COCAINE
250,NEVER USED COCAINE
251,NEVER USED COCAINE
252,NEVER USED COCAINE
253,NEVER USED COCAINE
254,NEVER USED COCAINE
255,No
256,NEVER USED COCAINE
257,NEVER USED COCAINE
258,NEVER USED COCAINE
259,NEVER USED COCAINE
260,NEVER USED COCAINE
261,No
262,NEVER USED COCAINE
263,NEVER USED COCAINE
264,NEVER USED COCAINE
265,NEVER USED COCAINE
266,NEVER USED COCAINE
267,NEVER USED COCAINE
268,NEVER USED COCAINE
269,NEVER USED COCAINE
270,NEVER USED COCAINE
271,NEVER USED COCAINE
272,NEVER USED COCAINE
273,NEVER USED COCAINE
274,NEVER USED COCAINE
275,DID NOT USE COCAINE IN THE PAST 12 MOS
276,NEVER USED COCAINE
277,NEVER USED COCAINE
278,NEVER USED COCAINE
279,NEVER USED COCAINE
280,NEVER USED COCAINE
281,NEVER USED COCAINE
282,NEVER USED COCAINE
283,NEVER USED COCAINE
284,NEVER USED COCAINE
285,NEVER USED COCAINE
286,NEVER USED COCAINE
287,NEVER USED COCAINE
288,NEVER USED COCAINE
289,NEVER USED COCAINE
290,NEVER USED COCAINE
291,NEVER USED COCAINE
292,NEVER USED COCAINE
293,NEVER USED COCAINE
294,NEVER USED COCAINE
295,NEVER USED COCAINE
296,NEVER USED COCAINE
297,NEVER USED COCAINE
298,NEVER USED COCAINE
299,NEVER USED COCAINE
300,NEVER USED COCAINE
301,NEVER USED COCAINE
302,NEVER USED COCAINE
303,NEVER USED COCAINE
304,NEVER USED COCAINE
305,NEVER USED COCAINE
306,DID NOT USE COCAINE IN THE PAST 12 MOS
307,NEVER USED COCAINE
308,NEVER USED COCAINE
309,NEVER USED COCAINE
310,NEVER USED COCAINE
311,DID NOT USE COCAINE IN THE PAST 12 MOS
312,NEVER USED COCAINE
313,NEVER USED COCAINE
314,NEVER USED COCAINE
315,NEVER USED COCAINE
316,NEVER USED COCAINE
317,NEVER USED COCAINE
318,NEVER USED COCAINE
319,NEVER USED COCAINE
320,NEVER USED COCAINE
321,NEVER USED COCAINE
322,NEVER USED COCAINE
323,NEVER USED COCAINE
324,NEVER USED COCAINE
325,NEVER USED COCAINE
326,NEVER USED COCAINE
327,NEVER USED COCAINE
328,NEVER USED COCAINE
329,NEVER USED COCAINE
330,NEVER USED COCAINE
331,NEVER USED COCAINE
332,NEVER USED COCAINE
333,NEVER USED COCAINE
334,NEVER USED COCAINE
335,NEVER USED COCAINE
336,NEVER USED COCAINE
337,NEVER USED COCAINE
338,NEVER USED COCAINE
339,NEVER USED COCAINE
340,NEVER USED COCAINE
341,DID NOT USE COCAINE IN THE PAST 12 MOS
342,NEVER USED COCAINE
343,NEVER USED COCAINE
344,NEVER USED COCAINE
345,NEVER USED COCAINE
346,DID NOT USE COCAINE IN THE PAST 12 MOS
347,NEVER USED COCAINE
348,DID NOT USE COCAINE IN THE PAST 12 MOS
349,NEVER USED COCAINE
350,NEVER USED COCAINE
351,NEVER USED COCAINE
352,NEVER USED COCAINE
353,NEVER USED COCAINE
354,NEVER USED COCAINE
355,NEVER USED COCAINE
356,NEVER USED COCAINE
357,NEVER USED COCAINE
358,NEVER USED COCAINE
359,NEVER USED COCAINE
360,NEVER USED COCAINE
361,NEVER USED COCAINE
362,NEVER USED COCAINE
363,NEVER USED COCAINE
364,NEVER USED COCAINE
365,NEVER USED COCAINE
366,NEVER USED COCAINE
367,NEVER USED COCAINE
368,NEVER USED COCAINE
369,NEVER USED COCAINE
370,NEVER USED COCAINE
371,NEVER USED COCAINE
372,DID NOT USE COCAINE IN THE PAST 12 MOS
373,NEVER USED COCAINE
374,NEVER USED COCAINE
375,NEVER USED COCAINE
376,NEVER USED COCAINE
377,NEVER USED COCAINE
378,NEVER USED COCAINE
379,Yes
380,NEVER USED COCAINE
381,DID NOT USE COCAINE IN THE PAST 12 MOS
382,NEVER USED COCAINE
383,NEVER USED COCAINE
384,NEVER USED COCAINE
385,DID NOT USE COCAINE IN THE PAST 12 MOS
386,NEVER USED COCAINE
387,DID NOT USE COCAINE IN THE PAST 12 MOS
388,NEVER USED COCAINE
389,NEVER USED COCAINE
390,NEVER USED COCAINE
391,NEVER USED COCAINE
392,NEVER USED COCAINE
393,NEVER USED COCAINE
394,NEVER USED COCAINE
395,NEVER USED COCAINE
396,NEVER USED COCAINE
397,NEVER USED COCAINE
398,NEVER USED COCAINE
399,NEVER USED COCAINE
400,NEVER USED COCAINE
401,NEVER USED COCAINE
402,NEVER USED COCAINE
403,NEVER USED COCAINE
404,NEVER USED COCAINE
405,NEVER USED COCAINE
406,NEVER USED COCAINE
407,NEVER USED COCAINE
408,NEVER USED COCAINE
409,NEVER USED COCAINE
410,NEVER USED COCAINE
411,NEVER USED COCAINE
412,NEVER USED COCAINE
413,NEVER USED COCAINE
414,NEVER USED COCAINE
415,NEVER USED COCAINE
416,NEVER USED COCAINE
417,NEVER USED COCAINE
418,NEVER USED COCAINE
419,NEVER USED COCAINE
420,NEVER USED COCAINE
421,NEVER USED COCAINE
422,NEVER USED COCAINE
423,DID NOT USE COCAINE IN THE PAST 12 MOS
424,DID NOT USE COCAINE IN THE PAST 12 MOS
425,NEVER USED COCAINE
426,NEVER USED COCAINE
427,NEVER USED COCAINE
428,NEVER USED COCAINE
429,DID NOT USE COCAINE IN THE PAST 12 MOS
430,NEVER USED COCAINE
431,NEVER USED COCAINE
432,NEVER USED COCAINE
433,NEVER USED COCAINE
