,COCLSACT
0,NEVER USED COCAINE
1,NEVER USED COCAINE
2,NEVER USED COCAINE
3,NEVER USED COCAINE
4,NEVER USED COCAINE
5,NEVER USED COCAINE
6,NEVER USED COCAINE
7,NEVER USED COCAINE
8,NEVER USED COCAINE
9,NEVER USED COCAINE
10,NEVER USED COCAINE
11,NEVER USED COCAINE
12,NEVER USED COCAINE
13,NEVER USED COCAINE
14,NEVER USED COCAINE
15,NEVER USED COCAINE
16,NEVER USED COCAINE
17,NEVER USED COCAINE
18,NEVER USED COCAINE
19,DID NOT USE COCAINE PST 12 MOS
20,NEVER USED COCAINE
21,NEVER USED COCAINE
22,NEVER USED COCAINE
23,NEVER USED COCAINE
24,NEVER USED COCAINE
25,NEVER USED COCAINE
26,NEVER USED COCAINE
27,NEVER USED COCAINE
28,NEVER USED COCAINE
29,NEVER USED COCAINE
30,NEVER USED COCAINE
31,NEVER USED COCAINE
32,NEVER USED COCAINE
33,NEVER USED COCAINE
34,NEVER USED COCAINE
35,NEVER USED COCAINE
36,NEVER USED COCAINE
37,NEVER USED COCAINE
38,DID NOT USE COCAINE PST 12 MOS
39,No
40,NEVER USED COCAINE
41,NEVER USED COCAINE
42,NEVER USED COCAINE
43,NEVER USED COCAINE
44,NEVER USED COCAINE
45,NEVER USED COCAINE
46,NEVER USED COCAINE
47,NEVER USED COCAINE
48,NEVER USED COCAINE
49,NEVER USED COCAINE
50,NEVER USED COCAINE
51,NEVER USED COCAINE
52,NEVER USED COCAINE
53,NEVER USED COCAINE
54,NEVER USED COCAINE
55,NEVER USED COCAINE
56,NEVER USED COCAINE
57,NEVER USED COCAINE
58,NEVER USED COCAINE
59,NEVER USED COCAINE
60,NEVER USED COCAINE
61,NEVER USED COCAINE
62,NEVER USED COCAINE
63,NEVER USED COCAINE
64,NEVER USED COCAINE
65,NEVER USED COCAINE
66,NEVER USED COCAINE
67,NEVER USED COCAINE
68,NEVER USED COCAINE
69,NEVER USED COCAINE
70,NEVER USED COCAINE
71,NEVER USED COCAINE
72,DID NOT USE COCAINE PST 12 MOS
73,NEVER USED COCAINE
74,NEVER USED COCAINE
75,DID NOT USE COCAINE PST 12 MOS
76,NEVER USED COCAINE
77,NEVER USED COCAINE
78,NEVER USED COCAINE
79,NEVER USED COCAINE
80,NEVER USED COCAINE
81,NEVER USED COCAINE
82,NEVER USED COCAINE
83,NEVER USED COCAINE
84,NEVER USED COCAINE
85,NEVER USED COCAINE
86,NEVER USED COCAINE
87,No
88,NEVER USED COCAINE
89,NEVER USED COCAINE
90,NEVER USED COCAINE
91,NEVER USED COCAINE
92,NEVER USED COCAINE
93,NEVER USED COCAINE
94,NEVER USED COCAINE
95,NEVER USED COCAINE
96,NEVER USED COCAINE
97,NEVER USED COCAINE
98,NEVER USED COCAINE
99,NEVER USED COCAINE
100,NEVER USED COCAINE
101,BLANK (NO ANSWER)
102,NEVER USED COCAINE
103,NEVER USED COCAINE
104,NEVER USED COCAINE
105,NEVER USED COCAINE
106,NEVER USED COCAINE
107,NEVER USED COCAINE
108,NEVER USED COCAINE
109,DID NOT USE COCAINE PST 12 MOS
110,NEVER USED COCAINE
111,NEVER USED COCAINE
112,NEVER USED COCAINE
113,NEVER USED COCAINE
114,NEVER USED COCAINE
115,NEVER USED COCAINE
116,NEVER USED COCAINE
117,NEVER USED COCAINE
118,NEVER USED COCAINE
119,NEVER USED COCAINE
120,NEVER USED COCAINE
121,NEVER USED COCAINE
