,COCYR
2251,"Did not use in the past year (IRCOCRC = 3,9)"
2252,"Did not use in the past year (IRCOCRC = 3,9)"
2253,"Did not use in the past year (IRCOCRC = 3,9)"
2254,"Did not use in the past year (IRCOCRC = 3,9)"
2255,"Did not use in the past year (IRCOCRC = 3,9)"
2256,"Did not use in the past year (IRCOCRC = 3,9)"
2257,"Did not use in the past year (IRCOCRC = 3,9)"
2258,"Did not use in the past year (IRCOCRC = 3,9)"
2259,"Did not use in the past year (IRCOCRC = 3,9)"
2260,"Did not use in the past year (IRCOCRC = 3,9)"
2261,"Did not use in the past year (IRCOCRC = 3,9)"
2262,"Did not use in the past year (IRCOCRC = 3,9)"
2263,"Did not use in the past year (IRCOCRC = 3,9)"
2264,"Did not use in the past year (IRCOCRC = 3,9)"
2265,"Did not use in the past year (IRCOCRC = 3,9)"
2266,"Did not use in the past year (IRCOCRC = 3,9)"
2267,"Did not use in the past year (IRCOCRC = 3,9)"
2268,"Did not use in the past year (IRCOCRC = 3,9)"
2269,"Did not use in the past year (IRCOCRC = 3,9)"
2270,"Did not use in the past year (IRCOCRC = 3,9)"
2271,"Did not use in the past year (IRCOCRC = 3,9)"
2272,"Did not use in the past year (IRCOCRC = 3,9)"
2273,"Did not use in the past year (IRCOCRC = 3,9)"
2274,"Did not use in the past year (IRCOCRC = 3,9)"
2275,"Did not use in the past year (IRCOCRC = 3,9)"
2276,"Did not use in the past year (IRCOCRC = 3,9)"
2277,"Did not use in the past year (IRCOCRC = 3,9)"
2278,"Did not use in the past year (IRCOCRC = 3,9)"
2279,"Did not use in the past year (IRCOCRC = 3,9)"
2280,"Did not use in the past year (IRCOCRC = 3,9)"
2281,"Did not use in the past year (IRCOCRC = 3,9)"
2282,"Did not use in the past year (IRCOCRC = 3,9)"
2283,"Did not use in the past year (IRCOCRC = 3,9)"
2284,"Did not use in the past year (IRCOCRC = 3,9)"
2285,"Did not use in the past year (IRCOCRC = 3,9)"
2286,"Did not use in the past year (IRCOCRC = 3,9)"
2287,"Did not use in the past year (IRCOCRC = 3,9)"
2288,"Did not use in the past year (IRCOCRC = 3,9)"
2289,"Did not use in the past year (IRCOCRC = 3,9)"
2290,"Did not use in the past year (IRCOCRC = 3,9)"
2291,"Did not use in the past year (IRCOCRC = 3,9)"
2292,"Did not use in the past year (IRCOCRC = 3,9)"
2293,"Did not use in the past year (IRCOCRC = 3,9)"
2294,"Did not use in the past year (IRCOCRC = 3,9)"
2295,"Did not use in the past year (IRCOCRC = 3,9)"
2296,"Did not use in the past year (IRCOCRC = 3,9)"
2297,"Did not use in the past year (IRCOCRC = 3,9)"
2298,"Did not use in the past year (IRCOCRC = 3,9)"
2299,"Did not use in the past year (IRCOCRC = 3,9)"
2300,"Did not use in the past year (IRCOCRC = 3,9)"
2301,"Did not use in the past year (IRCOCRC = 3,9)"
2302,"Did not use in the past year (IRCOCRC = 3,9)"
2303,"Did not use in the past year (IRCOCRC = 3,9)"
2304,"Did not use in the past year (IRCOCRC = 3,9)"
2305,"Did not use in the past year (IRCOCRC = 3,9)"
2306,"Did not use in the past year (IRCOCRC = 3,9)"
2307,"Did not use in the past year (IRCOCRC = 3,9)"
2308,"Did not use in the past year (IRCOCRC = 3,9)"
2309,"Did not use in the past year (IRCOCRC = 3,9)"
2310,"Did not use in the past year (IRCOCRC = 3,9)"
2311,"Did not use in the past year (IRCOCRC = 3,9)"
2312,"Did not use in the past year (IRCOCRC = 3,9)"
2313,"Did not use in the past year (IRCOCRC = 3,9)"
2314,"Used within the past year (IRCOCRC = 1,2)"
2315,"Did not use in the past year (IRCOCRC = 3,9)"
2316,"Did not use in the past year (IRCOCRC = 3,9)"
2317,"Did not use in the past year (IRCOCRC = 3,9)"
2318,"Did not use in the past year (IRCOCRC = 3,9)"
2319,"Did not use in the past year (IRCOCRC = 3,9)"
2320,"Did not use in the past year (IRCOCRC = 3,9)"
2321,"Did not use in the past year (IRCOCRC = 3,9)"
2322,"Did not use in the past year (IRCOCRC = 3,9)"
2323,"Did not use in the past year (IRCOCRC = 3,9)"
2324,"Did not use in the past year (IRCOCRC = 3,9)"
2325,"Did not use in the past year (IRCOCRC = 3,9)"
2326,"Did not use in the past year (IRCOCRC = 3,9)"
2327,"Did not use in the past year (IRCOCRC = 3,9)"
2328,"Did not use in the past year (IRCOCRC = 3,9)"
2329,"Did not use in the past year (IRCOCRC = 3,9)"
2330,"Did not use in the past year (IRCOCRC = 3,9)"
2331,"Did not use in the past year (IRCOCRC = 3,9)"
2332,"Did not use in the past year (IRCOCRC = 3,9)"
2333,"Did not use in the past year (IRCOCRC = 3,9)"
2334,"Did not use in the past year (IRCOCRC = 3,9)"
2335,"Did not use in the past year (IRCOCRC = 3,9)"
2336,"Did not use in the past year (IRCOCRC = 3,9)"
2337,"Did not use in the past year (IRCOCRC = 3,9)"
2338,"Did not use in the past year (IRCOCRC = 3,9)"
2339,"Did not use in the past year (IRCOCRC = 3,9)"
2340,"Did not use in the past year (IRCOCRC = 3,9)"
2341,"Did not use in the past year (IRCOCRC = 3,9)"
2342,"Did not use in the past year (IRCOCRC = 3,9)"
2343,"Did not use in the past year (IRCOCRC = 3,9)"
2344,"Did not use in the past year (IRCOCRC = 3,9)"
2345,"Did not use in the past year (IRCOCRC = 3,9)"
2346,"Did not use in the past year (IRCOCRC = 3,9)"
2347,"Did not use in the past year (IRCOCRC = 3,9)"
2348,"Did not use in the past year (IRCOCRC = 3,9)"
2349,"Did not use in the past year (IRCOCRC = 3,9)"
2350,"Did not use in the past year (IRCOCRC = 3,9)"
2351,"Did not use in the past year (IRCOCRC = 3,9)"
2352,"Did not use in the past year (IRCOCRC = 3,9)"
2353,"Did not use in the past year (IRCOCRC = 3,9)"
2354,"Did not use in the past year (IRCOCRC = 3,9)"
2355,"Did not use in the past year (IRCOCRC = 3,9)"
2356,"Did not use in the past year (IRCOCRC = 3,9)"
2357,"Did not use in the past year (IRCOCRC = 3,9)"
2358,"Did not use in the past year (IRCOCRC = 3,9)"
2359,"Did not use in the past year (IRCOCRC = 3,9)"
2360,"Did not use in the past year (IRCOCRC = 3,9)"
2361,"Did not use in the past year (IRCOCRC = 3,9)"
2362,"Did not use in the past year (IRCOCRC = 3,9)"
2363,"Used within the past year (IRCOCRC = 1,2)"
2364,"Did not use in the past year (IRCOCRC = 3,9)"
2365,"Did not use in the past year (IRCOCRC = 3,9)"
2366,"Did not use in the past year (IRCOCRC = 3,9)"
2367,"Did not use in the past year (IRCOCRC = 3,9)"
2368,"Did not use in the past year (IRCOCRC = 3,9)"
2369,"Did not use in the past year (IRCOCRC = 3,9)"
2370,"Did not use in the past year (IRCOCRC = 3,9)"
2371,"Did not use in the past year (IRCOCRC = 3,9)"
2372,"Did not use in the past year (IRCOCRC = 3,9)"
2373,"Did not use in the past year (IRCOCRC = 3,9)"
2374,"Did not use in the past year (IRCOCRC = 3,9)"
2375,"Did not use in the past year (IRCOCRC = 3,9)"
2376,"Did not use in the past year (IRCOCRC = 3,9)"
2377,"Did not use in the past year (IRCOCRC = 3,9)"
2378,"Did not use in the past year (IRCOCRC = 3,9)"
2379,"Did not use in the past year (IRCOCRC = 3,9)"
2380,"Did not use in the past year (IRCOCRC = 3,9)"
2381,"Did not use in the past year (IRCOCRC = 3,9)"
2382,"Did not use in the past year (IRCOCRC = 3,9)"
2383,"Did not use in the past year (IRCOCRC = 3,9)"
2384,"Did not use in the past year (IRCOCRC = 3,9)"
2385,"Did not use in the past year (IRCOCRC = 3,9)"
2386,"Did not use in the past year (IRCOCRC = 3,9)"
2387,"Did not use in the past year (IRCOCRC = 3,9)"
2388,"Did not use in the past year (IRCOCRC = 3,9)"
2389,"Did not use in the past year (IRCOCRC = 3,9)"
2390,"Did not use in the past year (IRCOCRC = 3,9)"
2391,"Did not use in the past year (IRCOCRC = 3,9)"
2392,"Did not use in the past year (IRCOCRC = 3,9)"
2393,"Did not use in the past year (IRCOCRC = 3,9)"
2394,"Did not use in the past year (IRCOCRC = 3,9)"
2395,"Did not use in the past year (IRCOCRC = 3,9)"
2396,"Did not use in the past year (IRCOCRC = 3,9)"
2397,"Did not use in the past year (IRCOCRC = 3,9)"
2398,"Did not use in the past year (IRCOCRC = 3,9)"
2399,"Did not use in the past year (IRCOCRC = 3,9)"
2400,"Did not use in the past year (IRCOCRC = 3,9)"
2401,"Did not use in the past year (IRCOCRC = 3,9)"
2402,"Did not use in the past year (IRCOCRC = 3,9)"
2403,"Did not use in the past year (IRCOCRC = 3,9)"
2404,"Did not use in the past year (IRCOCRC = 3,9)"
2405,"Did not use in the past year (IRCOCRC = 3,9)"
2406,"Did not use in the past year (IRCOCRC = 3,9)"
2407,"Did not use in the past year (IRCOCRC = 3,9)"
2408,"Did not use in the past year (IRCOCRC = 3,9)"
2409,"Did not use in the past year (IRCOCRC = 3,9)"
2410,"Did not use in the past year (IRCOCRC = 3,9)"
2411,"Used within the past year (IRCOCRC = 1,2)"
2412,"Did not use in the past year (IRCOCRC = 3,9)"
2413,"Did not use in the past year (IRCOCRC = 3,9)"
2414,"Did not use in the past year (IRCOCRC = 3,9)"
2415,"Did not use in the past year (IRCOCRC = 3,9)"
2416,"Did not use in the past year (IRCOCRC = 3,9)"
2417,"Did not use in the past year (IRCOCRC = 3,9)"
2418,"Did not use in the past year (IRCOCRC = 3,9)"
2419,"Did not use in the past year (IRCOCRC = 3,9)"
2420,"Did not use in the past year (IRCOCRC = 3,9)"
2421,"Did not use in the past year (IRCOCRC = 3,9)"
2422,"Did not use in the past year (IRCOCRC = 3,9)"
2423,"Did not use in the past year (IRCOCRC = 3,9)"
2424,"Did not use in the past year (IRCOCRC = 3,9)"
2425,"Did not use in the past year (IRCOCRC = 3,9)"
2426,"Did not use in the past year (IRCOCRC = 3,9)"
2427,"Did not use in the past year (IRCOCRC = 3,9)"
2428,"Did not use in the past year (IRCOCRC = 3,9)"
2429,"Did not use in the past year (IRCOCRC = 3,9)"
2430,"Did not use in the past year (IRCOCRC = 3,9)"
2431,"Did not use in the past year (IRCOCRC = 3,9)"
2432,"Did not use in the past year (IRCOCRC = 3,9)"
2433,"Did not use in the past year (IRCOCRC = 3,9)"
2434,"Did not use in the past year (IRCOCRC = 3,9)"
2435,"Did not use in the past year (IRCOCRC = 3,9)"
2436,"Did not use in the past year (IRCOCRC = 3,9)"
2437,"Did not use in the past year (IRCOCRC = 3,9)"
2438,"Did not use in the past year (IRCOCRC = 3,9)"
2439,"Did not use in the past year (IRCOCRC = 3,9)"
2440,"Did not use in the past year (IRCOCRC = 3,9)"
2441,"Did not use in the past year (IRCOCRC = 3,9)"
2442,"Did not use in the past year (IRCOCRC = 3,9)"
2443,"Did not use in the past year (IRCOCRC = 3,9)"
2444,"Did not use in the past year (IRCOCRC = 3,9)"
2445,"Did not use in the past year (IRCOCRC = 3,9)"
2446,"Did not use in the past year (IRCOCRC = 3,9)"
2447,"Did not use in the past year (IRCOCRC = 3,9)"
2448,"Did not use in the past year (IRCOCRC = 3,9)"
2449,"Did not use in the past year (IRCOCRC = 3,9)"
2450,"Did not use in the past year (IRCOCRC = 3,9)"
2451,"Did not use in the past year (IRCOCRC = 3,9)"
2452,"Did not use in the past year (IRCOCRC = 3,9)"
2453,"Did not use in the past year (IRCOCRC = 3,9)"
2454,"Did not use in the past year (IRCOCRC = 3,9)"
2455,"Did not use in the past year (IRCOCRC = 3,9)"
2456,"Did not use in the past year (IRCOCRC = 3,9)"
2457,"Did not use in the past year (IRCOCRC = 3,9)"
2458,"Did not use in the past year (IRCOCRC = 3,9)"
2459,"Did not use in the past year (IRCOCRC = 3,9)"
2460,"Did not use in the past year (IRCOCRC = 3,9)"
2461,"Did not use in the past year (IRCOCRC = 3,9)"
2462,"Did not use in the past year (IRCOCRC = 3,9)"
2463,"Did not use in the past year (IRCOCRC = 3,9)"
2464,"Did not use in the past year (IRCOCRC = 3,9)"
2465,"Did not use in the past year (IRCOCRC = 3,9)"
2466,"Did not use in the past year (IRCOCRC = 3,9)"
2467,"Did not use in the past year (IRCOCRC = 3,9)"
2468,"Did not use in the past year (IRCOCRC = 3,9)"
2469,"Did not use in the past year (IRCOCRC = 3,9)"
2470,"Did not use in the past year (IRCOCRC = 3,9)"
2471,"Did not use in the past year (IRCOCRC = 3,9)"
2472,"Did not use in the past year (IRCOCRC = 3,9)"
2473,"Did not use in the past year (IRCOCRC = 3,9)"
2474,"Did not use in the past year (IRCOCRC = 3,9)"
2475,"Did not use in the past year (IRCOCRC = 3,9)"
2476,"Did not use in the past year (IRCOCRC = 3,9)"
2477,"Did not use in the past year (IRCOCRC = 3,9)"
2478,"Did not use in the past year (IRCOCRC = 3,9)"
2479,"Did not use in the past year (IRCOCRC = 3,9)"
2480,"Did not use in the past year (IRCOCRC = 3,9)"
2481,"Did not use in the past year (IRCOCRC = 3,9)"
2482,"Did not use in the past year (IRCOCRC = 3,9)"
2483,"Did not use in the past year (IRCOCRC = 3,9)"
2484,"Did not use in the past year (IRCOCRC = 3,9)"
2485,"Did not use in the past year (IRCOCRC = 3,9)"
2486,"Did not use in the past year (IRCOCRC = 3,9)"
2487,"Did not use in the past year (IRCOCRC = 3,9)"
2488,"Did not use in the past year (IRCOCRC = 3,9)"
2489,"Used within the past year (IRCOCRC = 1,2)"
2490,"Did not use in the past year (IRCOCRC = 3,9)"
2491,"Did not use in the past year (IRCOCRC = 3,9)"
2492,"Did not use in the past year (IRCOCRC = 3,9)"
2493,"Did not use in the past year (IRCOCRC = 3,9)"
2494,"Did not use in the past year (IRCOCRC = 3,9)"
2495,"Did not use in the past year (IRCOCRC = 3,9)"
2496,"Did not use in the past year (IRCOCRC = 3,9)"
2497,"Did not use in the past year (IRCOCRC = 3,9)"
2498,"Did not use in the past year (IRCOCRC = 3,9)"
2499,"Did not use in the past year (IRCOCRC = 3,9)"
2500,"Did not use in the past year (IRCOCRC = 3,9)"
2501,"Did not use in the past year (IRCOCRC = 3,9)"
2502,"Did not use in the past year (IRCOCRC = 3,9)"
2503,"Did not use in the past year (IRCOCRC = 3,9)"
2504,"Did not use in the past year (IRCOCRC = 3,9)"
2505,"Did not use in the past year (IRCOCRC = 3,9)"
2506,"Did not use in the past year (IRCOCRC = 3,9)"
2507,"Did not use in the past year (IRCOCRC = 3,9)"
2508,"Did not use in the past year (IRCOCRC = 3,9)"
2509,"Did not use in the past year (IRCOCRC = 3,9)"
2510,"Did not use in the past year (IRCOCRC = 3,9)"
2511,"Did not use in the past year (IRCOCRC = 3,9)"
2512,"Did not use in the past year (IRCOCRC = 3,9)"
2513,"Did not use in the past year (IRCOCRC = 3,9)"
2514,"Did not use in the past year (IRCOCRC = 3,9)"
2515,"Did not use in the past year (IRCOCRC = 3,9)"
2516,"Did not use in the past year (IRCOCRC = 3,9)"
2517,"Did not use in the past year (IRCOCRC = 3,9)"
2518,"Did not use in the past year (IRCOCRC = 3,9)"
2519,"Did not use in the past year (IRCOCRC = 3,9)"
2520,"Did not use in the past year (IRCOCRC = 3,9)"
2521,"Did not use in the past year (IRCOCRC = 3,9)"
2522,"Did not use in the past year (IRCOCRC = 3,9)"
2523,"Did not use in the past year (IRCOCRC = 3,9)"
2524,"Did not use in the past year (IRCOCRC = 3,9)"
2525,"Did not use in the past year (IRCOCRC = 3,9)"
2526,"Did not use in the past year (IRCOCRC = 3,9)"
2527,"Did not use in the past year (IRCOCRC = 3,9)"
2528,"Did not use in the past year (IRCOCRC = 3,9)"
2529,"Did not use in the past year (IRCOCRC = 3,9)"
2530,"Did not use in the past year (IRCOCRC = 3,9)"
2531,"Did not use in the past year (IRCOCRC = 3,9)"
2532,"Did not use in the past year (IRCOCRC = 3,9)"
2533,"Did not use in the past year (IRCOCRC = 3,9)"
2534,"Did not use in the past year (IRCOCRC = 3,9)"
2535,"Did not use in the past year (IRCOCRC = 3,9)"
2536,"Did not use in the past year (IRCOCRC = 3,9)"
2537,"Did not use in the past year (IRCOCRC = 3,9)"
2538,"Did not use in the past year (IRCOCRC = 3,9)"
2539,"Did not use in the past year (IRCOCRC = 3,9)"
2540,"Did not use in the past year (IRCOCRC = 3,9)"
2541,"Did not use in the past year (IRCOCRC = 3,9)"
2542,"Did not use in the past year (IRCOCRC = 3,9)"
2543,"Did not use in the past year (IRCOCRC = 3,9)"
2544,"Did not use in the past year (IRCOCRC = 3,9)"
2545,"Did not use in the past year (IRCOCRC = 3,9)"
2546,"Did not use in the past year (IRCOCRC = 3,9)"
2547,"Did not use in the past year (IRCOCRC = 3,9)"
2548,"Did not use in the past year (IRCOCRC = 3,9)"
2549,"Did not use in the past year (IRCOCRC = 3,9)"
2550,"Did not use in the past year (IRCOCRC = 3,9)"
2551,"Did not use in the past year (IRCOCRC = 3,9)"
2552,"Did not use in the past year (IRCOCRC = 3,9)"
2553,"Did not use in the past year (IRCOCRC = 3,9)"
2554,"Did not use in the past year (IRCOCRC = 3,9)"
2555,"Did not use in the past year (IRCOCRC = 3,9)"
2556,"Used within the past year (IRCOCRC = 1,2)"
2557,"Used within the past year (IRCOCRC = 1,2)"
2558,"Did not use in the past year (IRCOCRC = 3,9)"
2559,"Did not use in the past year (IRCOCRC = 3,9)"
2560,"Did not use in the past year (IRCOCRC = 3,9)"
2561,"Did not use in the past year (IRCOCRC = 3,9)"
2562,"Did not use in the past year (IRCOCRC = 3,9)"
2563,"Did not use in the past year (IRCOCRC = 3,9)"
2564,"Did not use in the past year (IRCOCRC = 3,9)"
2565,"Did not use in the past year (IRCOCRC = 3,9)"
2566,"Did not use in the past year (IRCOCRC = 3,9)"
2567,"Did not use in the past year (IRCOCRC = 3,9)"
2568,"Did not use in the past year (IRCOCRC = 3,9)"
2569,"Did not use in the past year (IRCOCRC = 3,9)"
2570,"Did not use in the past year (IRCOCRC = 3,9)"
2571,"Did not use in the past year (IRCOCRC = 3,9)"
2572,"Did not use in the past year (IRCOCRC = 3,9)"
2573,"Did not use in the past year (IRCOCRC = 3,9)"
2574,"Did not use in the past year (IRCOCRC = 3,9)"
2575,"Did not use in the past year (IRCOCRC = 3,9)"
2576,"Did not use in the past year (IRCOCRC = 3,9)"
2577,"Did not use in the past year (IRCOCRC = 3,9)"
2578,"Did not use in the past year (IRCOCRC = 3,9)"
2579,"Did not use in the past year (IRCOCRC = 3,9)"
2580,"Did not use in the past year (IRCOCRC = 3,9)"
2581,"Did not use in the past year (IRCOCRC = 3,9)"
2582,"Did not use in the past year (IRCOCRC = 3,9)"
2583,"Used within the past year (IRCOCRC = 1,2)"
2584,"Did not use in the past year (IRCOCRC = 3,9)"
2585,"Did not use in the past year (IRCOCRC = 3,9)"
2586,"Did not use in the past year (IRCOCRC = 3,9)"
2587,"Did not use in the past year (IRCOCRC = 3,9)"
2588,"Did not use in the past year (IRCOCRC = 3,9)"
2589,"Did not use in the past year (IRCOCRC = 3,9)"
2590,"Did not use in the past year (IRCOCRC = 3,9)"
2591,"Did not use in the past year (IRCOCRC = 3,9)"
2592,"Did not use in the past year (IRCOCRC = 3,9)"
2593,"Did not use in the past year (IRCOCRC = 3,9)"
2594,"Did not use in the past year (IRCOCRC = 3,9)"
2595,"Did not use in the past year (IRCOCRC = 3,9)"
2596,"Did not use in the past year (IRCOCRC = 3,9)"
2597,"Did not use in the past year (IRCOCRC = 3,9)"
2598,"Did not use in the past year (IRCOCRC = 3,9)"
2599,"Did not use in the past year (IRCOCRC = 3,9)"
2600,"Did not use in the past year (IRCOCRC = 3,9)"
2601,"Did not use in the past year (IRCOCRC = 3,9)"
2602,"Did not use in the past year (IRCOCRC = 3,9)"
2603,"Did not use in the past year (IRCOCRC = 3,9)"
2604,"Did not use in the past year (IRCOCRC = 3,9)"
2605,"Did not use in the past year (IRCOCRC = 3,9)"
2606,"Did not use in the past year (IRCOCRC = 3,9)"
2607,"Did not use in the past year (IRCOCRC = 3,9)"
2608,"Did not use in the past year (IRCOCRC = 3,9)"
2609,"Did not use in the past year (IRCOCRC = 3,9)"
2610,"Did not use in the past year (IRCOCRC = 3,9)"
2611,"Did not use in the past year (IRCOCRC = 3,9)"
2612,"Did not use in the past year (IRCOCRC = 3,9)"
2613,"Did not use in the past year (IRCOCRC = 3,9)"
2614,"Did not use in the past year (IRCOCRC = 3,9)"
2615,"Did not use in the past year (IRCOCRC = 3,9)"
2616,"Did not use in the past year (IRCOCRC = 3,9)"
2617,"Did not use in the past year (IRCOCRC = 3,9)"
2618,"Did not use in the past year (IRCOCRC = 3,9)"
2619,"Did not use in the past year (IRCOCRC = 3,9)"
2620,"Did not use in the past year (IRCOCRC = 3,9)"
2621,"Did not use in the past year (IRCOCRC = 3,9)"
2622,"Did not use in the past year (IRCOCRC = 3,9)"
2623,"Did not use in the past year (IRCOCRC = 3,9)"
2624,"Did not use in the past year (IRCOCRC = 3,9)"
2625,"Did not use in the past year (IRCOCRC = 3,9)"
2626,"Did not use in the past year (IRCOCRC = 3,9)"
2627,"Did not use in the past year (IRCOCRC = 3,9)"
2628,"Did not use in the past year (IRCOCRC = 3,9)"
2629,"Did not use in the past year (IRCOCRC = 3,9)"
2630,"Did not use in the past year (IRCOCRC = 3,9)"
2631,"Did not use in the past year (IRCOCRC = 3,9)"
2632,"Did not use in the past year (IRCOCRC = 3,9)"
2633,"Did not use in the past year (IRCOCRC = 3,9)"
2634,"Did not use in the past year (IRCOCRC = 3,9)"
2635,"Did not use in the past year (IRCOCRC = 3,9)"
2636,"Did not use in the past year (IRCOCRC = 3,9)"
2637,"Did not use in the past year (IRCOCRC = 3,9)"
2638,"Did not use in the past year (IRCOCRC = 3,9)"
2639,"Did not use in the past year (IRCOCRC = 3,9)"
2640,"Did not use in the past year (IRCOCRC = 3,9)"
2641,"Did not use in the past year (IRCOCRC = 3,9)"
2642,"Did not use in the past year (IRCOCRC = 3,9)"
2643,"Did not use in the past year (IRCOCRC = 3,9)"
2644,"Did not use in the past year (IRCOCRC = 3,9)"
2645,"Did not use in the past year (IRCOCRC = 3,9)"
2646,"Did not use in the past year (IRCOCRC = 3,9)"
2647,"Did not use in the past year (IRCOCRC = 3,9)"
2648,"Did not use in the past year (IRCOCRC = 3,9)"
2649,"Did not use in the past year (IRCOCRC = 3,9)"
2650,"Did not use in the past year (IRCOCRC = 3,9)"
2651,"Did not use in the past year (IRCOCRC = 3,9)"
2652,"Did not use in the past year (IRCOCRC = 3,9)"
2653,"Did not use in the past year (IRCOCRC = 3,9)"
2654,"Did not use in the past year (IRCOCRC = 3,9)"
2655,"Did not use in the past year (IRCOCRC = 3,9)"
2656,"Did not use in the past year (IRCOCRC = 3,9)"
2657,"Did not use in the past year (IRCOCRC = 3,9)"
2658,"Did not use in the past year (IRCOCRC = 3,9)"
2659,"Did not use in the past year (IRCOCRC = 3,9)"
2660,"Did not use in the past year (IRCOCRC = 3,9)"
2661,"Did not use in the past year (IRCOCRC = 3,9)"
2662,"Did not use in the past year (IRCOCRC = 3,9)"
2663,"Did not use in the past year (IRCOCRC = 3,9)"
2664,"Did not use in the past year (IRCOCRC = 3,9)"
2665,"Did not use in the past year (IRCOCRC = 3,9)"
2666,"Did not use in the past year (IRCOCRC = 3,9)"
2667,"Did not use in the past year (IRCOCRC = 3,9)"
2668,"Did not use in the past year (IRCOCRC = 3,9)"
2669,"Did not use in the past year (IRCOCRC = 3,9)"
2670,"Did not use in the past year (IRCOCRC = 3,9)"
2671,"Did not use in the past year (IRCOCRC = 3,9)"
2672,"Did not use in the past year (IRCOCRC = 3,9)"
2673,"Did not use in the past year (IRCOCRC = 3,9)"
2674,"Did not use in the past year (IRCOCRC = 3,9)"
2675,"Did not use in the past year (IRCOCRC = 3,9)"
2676,"Did not use in the past year (IRCOCRC = 3,9)"
2677,"Did not use in the past year (IRCOCRC = 3,9)"
2678,"Did not use in the past year (IRCOCRC = 3,9)"
2679,"Did not use in the past year (IRCOCRC = 3,9)"
2680,"Did not use in the past year (IRCOCRC = 3,9)"
2681,"Did not use in the past year (IRCOCRC = 3,9)"
2682,"Did not use in the past year (IRCOCRC = 3,9)"
2683,"Did not use in the past year (IRCOCRC = 3,9)"
2684,"Did not use in the past year (IRCOCRC = 3,9)"
2685,"Did not use in the past year (IRCOCRC = 3,9)"
2686,"Did not use in the past year (IRCOCRC = 3,9)"
2687,"Did not use in the past year (IRCOCRC = 3,9)"
2688,"Did not use in the past year (IRCOCRC = 3,9)"
2689,"Did not use in the past year (IRCOCRC = 3,9)"
2690,"Did not use in the past year (IRCOCRC = 3,9)"
2691,"Did not use in the past year (IRCOCRC = 3,9)"
2692,"Did not use in the past year (IRCOCRC = 3,9)"
2693,"Did not use in the past year (IRCOCRC = 3,9)"
2694,"Did not use in the past year (IRCOCRC = 3,9)"
2695,"Did not use in the past year (IRCOCRC = 3,9)"
2696,"Did not use in the past year (IRCOCRC = 3,9)"
2697,"Did not use in the past year (IRCOCRC = 3,9)"
2698,"Did not use in the past year (IRCOCRC = 3,9)"
2699,"Did not use in the past year (IRCOCRC = 3,9)"
2700,"Did not use in the past year (IRCOCRC = 3,9)"
2701,"Did not use in the past year (IRCOCRC = 3,9)"
2702,"Did not use in the past year (IRCOCRC = 3,9)"
2703,"Did not use in the past year (IRCOCRC = 3,9)"
2704,"Did not use in the past year (IRCOCRC = 3,9)"
2705,"Did not use in the past year (IRCOCRC = 3,9)"
2706,"Did not use in the past year (IRCOCRC = 3,9)"
2707,"Did not use in the past year (IRCOCRC = 3,9)"
2708,"Did not use in the past year (IRCOCRC = 3,9)"
2709,"Did not use in the past year (IRCOCRC = 3,9)"
2710,"Did not use in the past year (IRCOCRC = 3,9)"
2711,"Did not use in the past year (IRCOCRC = 3,9)"
2712,"Did not use in the past year (IRCOCRC = 3,9)"
2713,"Did not use in the past year (IRCOCRC = 3,9)"
2714,"Did not use in the past year (IRCOCRC = 3,9)"
2715,"Did not use in the past year (IRCOCRC = 3,9)"
2716,"Did not use in the past year (IRCOCRC = 3,9)"
2717,"Did not use in the past year (IRCOCRC = 3,9)"
2718,"Did not use in the past year (IRCOCRC = 3,9)"
2719,"Did not use in the past year (IRCOCRC = 3,9)"
2720,"Did not use in the past year (IRCOCRC = 3,9)"
2721,"Did not use in the past year (IRCOCRC = 3,9)"
2722,"Did not use in the past year (IRCOCRC = 3,9)"
2723,"Did not use in the past year (IRCOCRC = 3,9)"
2724,"Did not use in the past year (IRCOCRC = 3,9)"
2725,"Did not use in the past year (IRCOCRC = 3,9)"
2726,"Did not use in the past year (IRCOCRC = 3,9)"
2727,"Did not use in the past year (IRCOCRC = 3,9)"
2728,"Did not use in the past year (IRCOCRC = 3,9)"
2729,"Did not use in the past year (IRCOCRC = 3,9)"
2730,"Did not use in the past year (IRCOCRC = 3,9)"
2731,"Did not use in the past year (IRCOCRC = 3,9)"
2732,"Did not use in the past year (IRCOCRC = 3,9)"
2733,"Did not use in the past year (IRCOCRC = 3,9)"
2734,"Did not use in the past year (IRCOCRC = 3,9)"
2735,"Did not use in the past year (IRCOCRC = 3,9)"
2736,"Did not use in the past year (IRCOCRC = 3,9)"
2737,"Did not use in the past year (IRCOCRC = 3,9)"
2738,"Did not use in the past year (IRCOCRC = 3,9)"
2739,"Did not use in the past year (IRCOCRC = 3,9)"
2740,"Did not use in the past year (IRCOCRC = 3,9)"
2741,"Did not use in the past year (IRCOCRC = 3,9)"
2742,"Did not use in the past year (IRCOCRC = 3,9)"
2743,"Did not use in the past year (IRCOCRC = 3,9)"
2744,"Did not use in the past year (IRCOCRC = 3,9)"
2745,"Did not use in the past year (IRCOCRC = 3,9)"
2746,"Did not use in the past year (IRCOCRC = 3,9)"
2747,"Did not use in the past year (IRCOCRC = 3,9)"
2748,"Did not use in the past year (IRCOCRC = 3,9)"
2749,"Did not use in the past year (IRCOCRC = 3,9)"
2750,"Did not use in the past year (IRCOCRC = 3,9)"
