,COCYR
118,"Did not use in the past year (IRCOCRC = 3,9)"
119,"Did not use in the past year (IRCOCRC = 3,9)"
120,"Did not use in the past year (IRCOCRC = 3,9)"
121,"Did not use in the past year (IRCOCRC = 3,9)"
122,"Did not use in the past year (IRCOCRC = 3,9)"
123,"Did not use in the past year (IRCOCRC = 3,9)"
124,"Did not use in the past year (IRCOCRC = 3,9)"
125,"Did not use in the past year (IRCOCRC = 3,9)"
126,"Did not use in the past year (IRCOCRC = 3,9)"
127,"Did not use in the past year (IRCOCRC = 3,9)"
128,"Did not use in the past year (IRCOCRC = 3,9)"
129,"Did not use in the past year (IRCOCRC = 3,9)"
130,"Did not use in the past year (IRCOCRC = 3,9)"
131,"Did not use in the past year (IRCOCRC = 3,9)"
132,"Did not use in the past year (IRCOCRC = 3,9)"
133,"Did not use in the past year (IRCOCRC = 3,9)"
134,"Did not use in the past year (IRCOCRC = 3,9)"
135,"Did not use in the past year (IRCOCRC = 3,9)"
136,"Did not use in the past year (IRCOCRC = 3,9)"
137,"Did not use in the past year (IRCOCRC = 3,9)"
138,"Used within the past year (IRCOCRC = 1,2)"
139,"Used within the past year (IRCOCRC = 1,2)"
140,"Did not use in the past year (IRCOCRC = 3,9)"
141,"Did not use in the past year (IRCOCRC = 3,9)"
142,"Did not use in the past year (IRCOCRC = 3,9)"
143,"Did not use in the past year (IRCOCRC = 3,9)"
144,"Did not use in the past year (IRCOCRC = 3,9)"
145,"Did not use in the past year (IRCOCRC = 3,9)"
146,"Did not use in the past year (IRCOCRC = 3,9)"
147,"Did not use in the past year (IRCOCRC = 3,9)"
148,"Did not use in the past year (IRCOCRC = 3,9)"
149,"Did not use in the past year (IRCOCRC = 3,9)"
150,"Did not use in the past year (IRCOCRC = 3,9)"
151,"Did not use in the past year (IRCOCRC = 3,9)"
152,"Did not use in the past year (IRCOCRC = 3,9)"
153,"Did not use in the past year (IRCOCRC = 3,9)"
154,"Did not use in the past year (IRCOCRC = 3,9)"
155,"Did not use in the past year (IRCOCRC = 3,9)"
156,"Did not use in the past year (IRCOCRC = 3,9)"
157,"Did not use in the past year (IRCOCRC = 3,9)"
158,"Did not use in the past year (IRCOCRC = 3,9)"
159,"Did not use in the past year (IRCOCRC = 3,9)"
160,"Did not use in the past year (IRCOCRC = 3,9)"
161,"Did not use in the past year (IRCOCRC = 3,9)"
162,"Did not use in the past year (IRCOCRC = 3,9)"
163,"Did not use in the past year (IRCOCRC = 3,9)"
164,"Did not use in the past year (IRCOCRC = 3,9)"
165,"Did not use in the past year (IRCOCRC = 3,9)"
166,"Did not use in the past year (IRCOCRC = 3,9)"
167,"Did not use in the past year (IRCOCRC = 3,9)"
168,"Did not use in the past year (IRCOCRC = 3,9)"
169,"Did not use in the past year (IRCOCRC = 3,9)"
170,"Did not use in the past year (IRCOCRC = 3,9)"
171,"Did not use in the past year (IRCOCRC = 3,9)"
172,"Did not use in the past year (IRCOCRC = 3,9)"
173,"Did not use in the past year (IRCOCRC = 3,9)"
174,"Did not use in the past year (IRCOCRC = 3,9)"
175,"Did not use in the past year (IRCOCRC = 3,9)"
176,"Did not use in the past year (IRCOCRC = 3,9)"
177,"Did not use in the past year (IRCOCRC = 3,9)"
178,"Did not use in the past year (IRCOCRC = 3,9)"
179,"Did not use in the past year (IRCOCRC = 3,9)"
180,"Did not use in the past year (IRCOCRC = 3,9)"
181,"Did not use in the past year (IRCOCRC = 3,9)"
182,"Did not use in the past year (IRCOCRC = 3,9)"
183,"Did not use in the past year (IRCOCRC = 3,9)"
184,"Did not use in the past year (IRCOCRC = 3,9)"
185,"Did not use in the past year (IRCOCRC = 3,9)"
186,"Did not use in the past year (IRCOCRC = 3,9)"
187,"Did not use in the past year (IRCOCRC = 3,9)"
188,"Did not use in the past year (IRCOCRC = 3,9)"
189,"Did not use in the past year (IRCOCRC = 3,9)"
